X2;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
147,1167891;6,617503402;4,480160453;8,790538999;0,182990304;13,05857222;747,2794658;469,1527827;776,0188744;305,6639029;1313,023159;15,21865636;12,44903617;18,06032619;6,871452921;23,57363718;0,008787972;-4,263761774;4,231525178;-12,59620493;12,59693346;9331,531532;5919,110734;11652,97241;1548,317442;16716,30817
196,8880129;6,206820729;4,149409203;8,66543618;-0,321223855;13,13291886;713,1424179;456,9285132;746,6638046;297,1445969;1235,947576;16,71999878;13,99272434;19,3902969;8,639973455;24,76247544;-1,32746597;-5,333341717;2,682768741;-13,25553086;10,53957397;7861,579608;5029,266304;9779,299974;1414,342323;13924,81472
250,3480107;6,276426129;4,184010584;8,632116899;-0,234755032;13,08212802;720,9930051;455,5532489;753,4395645;292,9810745;1260,178573;16,60239029;13,85193934;19,39901914;8,320974509;24,91376748;-1,198996753;-5,564832244;3,184300837;-14,13167615;11,74712409;8342,282373;5311,320042;10410,70804;1389,632366;14860,16211
307,4967827;6,936053113;4,496339184;9,083580858;-0,053785591;13,6913543;734,8105327;463,6640514;771,8975888;291,4808722;1286,851123;17,953527;15,17150878;20,74097293;9,698158977;26,25154868;-3,151186958;-7,050164011;0,696286294;-14,7226703;8,402297025;8028,638413;5225,407485;10023,42435;1427,055494;14307,31788
364,6455546;6,207934867;3,666067619;8,674170169;-1,321776086;13,65078048;750,4677759;470,2590114;780,279432;305,1629565;1321,971415;16,08152938;13,20750592;18,88486319;7,618227211;24,57513951;-2,337868587;-6,729080049;2,044781291;-15,36633264;10,69889781;9329,707396;6171,839734;11597,56146;1883,860359;16465,1693
417,3002769;7,254733152;4,417248053;9,546293086;-0,695283993;14,66336236;763,1545456;449,5234603;794,8957493;267,3054913;1396,415544;22,44366147;19,27197564;25,65548562;12,96391134;31,97111071;-6,054725623;-10,56401686;-1,502295682;-19,36988609;7,337459173;8972,970668;5739,28388;11263,34661;1386,450114;16144,24181
469,9549992;7,384573202;4,793035449;9,627838901;-0,024711622;14,47149618;740,6104924;452,0693093;777,178748;273,5370618;1325,529263;22,66292842;19,42943594;25,86448491;13,07432001;32,20187288;-5,975171656;-10,26251139;-1,714883288;-18,6518226;6,689041195;7617,335237;4876,582263;9539,521004;1234,175878;13606,78808
524,5500522;7,961739914;5,786684371;10,03919842;1,561134045;14,27957223;724,8530374;483,2058412;767,9357038;316,4143146;1221,455702;18,23793765;15,44067736;21,01707174;9,891677308;26,60404827;-0,250024323;-4,138827222;3,609888589;-11,74901037;11,25058067;7720,734385;5116,751949;9625,4829;1479,151867;13557,01393
581,0854358;8,593280433;5,918389766;10,22508341;1,603581647;14,52053033;756,2897056;473,5760298;793,5834881;296,6819716;1332,212777;17,33698081;14,11083373;20,57044555;7,770028626;26,92297985;-0,46890437;-4,635246742;3,669323653;-12,70153284;11,81562311;8519,835407;5300,097371;10718,34619;1138,494905;15444,80007
637,6208195;8,257084941;5,63275729;9,717368028;1,590766928;13,79371152;756,8128068;482,9399984;790,2367291;315,1962767;1315,425123;16,13242968;13,22635226;19,04441911;7,426680051;24,81071018;0,580301299;-2,936234808;4,104299695;-9,850429827;11,00446467;8579,138467;5345,365902;10714,10979;1340,424922;15414,7732
676,8013688;7,036701114;4,617281444;9,289780104;-0,033696832;13,93209117;709,6494732;463,62909;751,1220477;296,5606334;1215,061224;18,73103086;16,11685637;21,50213983;10,66145049;26,74893544;-3,379607439;-7,164746154;0,422029647;-14,66209847;7,904664169;7407,369735;4961,159275;9227,171424;1490,290213;12992,63695
